
Keyword: joe biden potentially entering	score: 16.0
Keyword: deadly threat	score: 3.5
Keyword: basically consumed	score: 3.5
Keyword: brave americans	score: 3.5
Keyword: bernie sanders	score: 3.5
Keyword: syrian rebels	score: 3.5
Keyword: term abortions	score: 3.5
Keyword: failed program	score: 3.5
Keyword: america safe	score: 3.5
Keyword: scenes conversations	score: 3.5
Keyword: supporting hezbollah	score: 3.5
Keyword: place mats	score: 3.4
Keyword: final question	score: 3.4
Keyword: complicated question	score: 3.4
Keyword: place mat	score: 3.4
Keyword: people climbing	score: 3.34482758621
Keyword: young people	score: 3.34482758621
Keyword: people raise	score: 3.34482758621
Keyword: professional people	score: 3.34482758621
Keyword: crazy thing	score: 3.33333333333
Keyword: front lines	score: 3.33333333333
Keyword: syrian refugees	score: 3.33333333333
Keyword: create millions	score: 3.33333333333
Keyword: immediately deal	score: 3.33333333333
Keyword: clinton headquarters	score: 3.28070175439
Keyword: economic policies	score: 3.25
Keyword: learn things	score: 3.25
Keyword: woman president	score: 3.25
Keyword: fathers bring	score: 3.25
Keyword: immediately asked	score: 3.25
Keyword: including christians	score: 3.25
Keyword: report inside	score: 3.25
Keyword: 9/11 happened	score: 3.2
Keyword: john mccain	score: 3.2
Keyword: story kind	score: 3.2
Keyword: number allowed	score: 3.2
Keyword: greatest respect	score: 3.2
Keyword: painful questions	score: 3.14285714286
Keyword: ultimately put	score: 3.14285714286
Keyword: secretary clinton	score: 3.12685560054
Keyword: terrorist attack	score: 3.125
Keyword: sending back	score: 3.1
Keyword: long interest	score: 3.0
Keyword: policy debate	score: 3.0
Keyword: people trained	score: 2.84482758621
Keyword: support assad	score: 2.83333333333
Keyword: republicans offer	score: 2.83333333333
Keyword: republican debate	score: 2.83333333333
Keyword: supporters stands	score: 2.83333333333
Keyword: personal decision	score: 2.83333333333
Keyword: long time	score: 2.75
Keyword: personal server	score: 2.75
Keyword: important work	score: 2.7
Keyword: phone call	score: 2.7
Keyword: big	score: 2.66666666667
Keyword: hope people	score: 2.54482758621
Keyword: train people	score: 2.54482758621
Keyword: 16 million	score: 2.33333333333
Keyword: american	score: 2.33333333333
Keyword: health	score: 2.0
Keyword: late	score: 2.0
Keyword: mail	score: 2.0
Keyword: jobs	score: 2.0
Keyword: war	score: 2.0
Keyword: meeting	score: 2.0
Keyword: secretary	score: 1.84615384615
Keyword: video	score: 1.8
Keyword: state	score: 1.8
Keyword: choice	score: 1.75
Keyword: great	score: 1.75
Keyword: crisis	score: 1.75
Keyword: women	score: 1.75
Keyword: give	score: 1.75
Keyword: president	score: 1.75
Keyword: public	score: 1.66666666667
Keyword: africa	score: 1.66666666667
Keyword: policy	score: 1.66666666667
Keyword: play	score: 1.66666666667
Keyword: presidency	score: 1.66666666667
Keyword: government	score: 1.66666666667
Keyword: start	score: 1.66666666667
Keyword: world	score: 1.57142857143
Keyword: woman	score: 1.5
Keyword: putting	score: 1.5
Keyword: assad	score: 1.5
Keyword: bernie	score: 1.5
Keyword: stands	score: 1.5
Keyword: giving	score: 1.5
Keyword: trained	score: 1.5
Keyword: working	score: 1.5
Keyword: phone	score: 1.5
