
Keyword: vice provost jonathan bagger pointed	score: 25.0
Keyword: unnecessary force	score: 3.66666666667
Keyword: usa today	score: 3.66666666667
Keyword: fellow citizens	score: 3.66666666667
Keyword: numbers today	score: 3.66666666667
Keyword: front page	score: 3.66666666667
Keyword: body cameras	score: 3.66666666667
Keyword: good work	score: 3.66666666667
Keyword: good place	score: 3.66666666667
Keyword: mayor dinkins	score: 3.66666666667
Keyword: police officers	score: 3.65
Keyword: trust makes	score: 3.625
Keyword: restore trust	score: 3.625
Keyword: restoring trust	score: 3.625
Keyword: prevent crime	score: 3.6
Keyword: law schoolâ	score: 3.6
Keyword: fight crime	score: 3.6
Keyword: american city	score: 3.58333333333
Keyword: entire community	score: 3.57142857143
Keyword: community benefits	score: 3.57142857143
Keyword: community policing	score: 3.57142857143
Keyword: painful times	score: 3.5
Keyword: emergency care	score: 3.5
Keyword: work hard	score: 3.5
Keyword: stay afloat	score: 3.5
Keyword: stay clean	score: 3.5
Keyword: buy weapons	score: 3.5
Keyword: roland park	score: 3.5
Keyword: lives unnecessarily	score: 3.5
Keyword: deal swiftly	score: 3.5
Keyword: special treat	score: 3.5
Keyword: lost amidst	score: 3.5
Keyword: miles separate	score: 3.5
Keyword: measure prosperity	score: 3.5
Keyword: tragedy caught	score: 3.5
Keyword: inaugural address	score: 3.5
Keyword: pipeline issues	score: 3.5
Keyword: approach punishment	score: 3.5
Keyword: find ways	score: 3.5
Keyword: republicans agree	score: 3.5
Keyword: restore balance	score: 3.4
Keyword: respect frayed	score: 3.4
Keyword: due respect	score: 3.4
Keyword: years ago	score: 3.375
Keyword: 40 years ago	score: 3.375
Keyword: past years	score: 3.375
