
Keyword: vice president joe biden offered	score: 17.3142857143
Keyword: questions bernie	score: 3.375
Keyword: people poll	score: 3.37272727273
Keyword: amazing thing	score: 3.33333333333
Keyword: highest regard	score: 3.33333333333
Keyword: prior election	score: 3.33333333333
Keyword: republicans won	score: 3.33333333333
Keyword: charleston loophole	score: 3.3
Keyword: million people	score: 3.27272727273
Keyword: ten years	score: 3.25
Keyword: neighboring state	score: 3.25
Keyword: intensive work	score: 3.2
Keyword: people make	score: 3.18939393939
Keyword: long career	score: 3.16666666667
Keyword: great stories	score: 3.16666666667
Keyword: feel passionately	score: 3.16666666667
Keyword: greatest country	score: 3.125
Keyword: convince people	score: 3.10606060606
Keyword: long time	score: 3.04166666667
Keyword: biden	score: 3.0
Keyword: people making	score: 2.93939393939
Keyword: break time	score: 2.875
Keyword: lose time	score: 2.875
Keyword: equal pay	score: 2.83333333333
Keyword: ve asked	score: 2.83333333333
Keyword: ve watched	score: 2.83333333333
Keyword: run hard	score: 2.73333333333
Keyword: hard standing	score: 2.73333333333
Keyword: business days	score: 2.66666666667
Keyword: hillary clinton	score: 2.6
Keyword: iowa caucus	score: 2.5
Keyword: energy	score: 2.5
Keyword: wanted	score: 2.5
Keyword: attention	score: 2.5
Keyword: ll stand	score: 2.5
Keyword: secretary clinton	score: 2.43333333333
Keyword: credit	score: 2.0
Keyword: stage	score: 2.0
Keyword: start	score: 2.0
Keyword: today	score: 2.0
Keyword: good	score: 2.0
